epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.1508,1.93809,3.1028,1.83428,0.00696,0.84211,0.30323,0.11539,2.06151,3.19887,1.93136,0.00014,0.00014,0.00014
2,134.047,1.73186,2.59694,1.78344,0.00754,0.91228,0.39805,0.17424,1.7154,3.01732,1.6654,0.00029703,0.00029703,0.00029703
3,200.808,1.72223,2.09441,1.68891,0.00768,0.92982,0.36982,0.17712,1.66539,2.99521,1.59729,0.000450892,0.000450892,0.000450892
4,270.405,1.77797,1.93414,1.58623,0.87838,0.12707,0.41048,0.19045,1.79341,2.94153,1.71947,0.000601586,0.000601586,0.000601586
5,334.883,1.65477,1.88241,1.54516,1,0.06859,0.27599,0.09542,2.0368,3.11531,1.99765,0.000749112,0.000749112,0.000749112
6,398.383,1.8294,2.00964,1.91892,0.53618,0.17544,0.21875,0.09137,2.04988,3.12266,2.07088,0.00089347,0.00089347,0.00089347
7,457.475,1.71967,1.7908,1.59618,0.46625,0.21468,0.32459,0.16788,1.782,2.7144,1.79291,0.00103466,0.00103466,0.00103466
8,521.408,1.63888,1.83322,1.63858,0.63934,0.36842,0.39248,0.15767,2.02101,2.79992,2.12199,0.00117268,0.00117268,0.00117268
9,580.223,1.67997,1.80286,1.62762,0.7196,0.40351,0.40357,0.19741,1.99377,2.86878,2.02553,0.00130754,0.00130754,0.00130754
10,639.023,1.65315,1.72681,1.59124,0.66469,0.45219,0.4733,0.17964,2.11932,2.48909,2.18589,0.00143922,0.00143922,0.00143922
11,699.176,1.76914,1.86359,1.73375,0.56646,0.35088,0.37098,0.1534,2.30756,2.57618,2.42862,0.00156774,0.00156774,0.00156774
12,758.578,1.67272,1.71171,1.61372,0.51989,0.2807,0.31435,0.1207,2.56603,2.53055,2.78417,0.00169309,0.00169309,0.00169309
13,819.539,1.72394,1.75419,1.64391,0.20587,0.19106,0.08637,0.02575,2.6646,3.02104,2.88096,0.0017624,0.0017624,0.0017624
14,895.159,1.53927,1.575,1.53902,0.31044,0.33333,0.19586,0.07098,2.31699,2.80483,2.37447,0.0017426,0.0017426,0.0017426
15,965.653,1.73354,1.75904,1.63548,0.26856,0.29825,0.22997,0.08565,2.46135,2.76475,2.57165,0.0017228,0.0017228,0.0017228
16,1039.85,1.67199,1.52276,1.56002,0.32638,0.32309,0.26915,0.09841,2.48181,2.62947,2.36025,0.001703,0.001703,0.001703
17,1102.37,1.60787,1.66613,1.58923,0.42167,0.371,0.32532,0.12182,2.33921,2.32706,2.33469,0.0016832,0.0016832,0.0016832
18,1160.27,1.56825,1.48238,1.53269,0.64387,0.47368,0.46919,0.16514,2.2374,2.26729,2.15074,0.0016634,0.0016634,0.0016634
19,1217.69,1.60511,1.60278,1.56727,0.36694,0.39665,0.2961,0.11535,2.34632,2.51363,2.23676,0.0016436,0.0016436,0.0016436
20,1275.71,1.63599,1.49152,1.53807,0.65689,0.38596,0.40395,0.1482,2.25619,2.38094,2.19432,0.0016238,0.0016238,0.0016238
21,1334.25,1.55321,1.41437,1.52224,0.29671,0.33333,0.25058,0.09154,2.49396,2.63981,2.39311,0.001604,0.001604,0.001604
